dataset,task,model,MAE,R2,Macro_F1,PR_AUC,Precision,Recall
dry_bean,multiclass,xRFM,—,—,0.8342,—,0.8364,0.8605
dry_bean,multiclass,XGBoost,—,—,0.9377,—,0.9399,0.9357
dry_bean,multiclass,RF,—,—,0.9332,—,0.9353,0.9313
dry_bean,multiclass,MLP,—,—,0.9304,—,0.9329,0.9284
dry_bean,multiclass,TabNet,—,—,0.9262,—,0.9292,0.9235
ai4i_maintenance,binary,xRFM,—,—,0.8047,0.6858,0.8668,0.7616
ai4i_maintenance,binary,XGBoost,—,—,0.8723,0.8218,0.9428,0.8222
ai4i_maintenance,binary,RF,—,—,0.7957,0.7711,0.9334,0.7269
ai4i_maintenance,binary,MLP,—,—,0.8199,0.6763,0.8094,0.8312
ai4i_maintenance,binary,TabNet,—,—,0.7306,0.5436,0.8851,0.6676
bank_marketing,binary,xRFM,—,—,0.7246,0.5956,0.7969,0.6868
bank_marketing,binary,XGBoost,—,—,0.7492,0.6284,0.7908,0.7211
bank_marketing,binary,RF,—,—,0.7212,0.6167,0.7934,0.6838
bank_marketing,binary,MLP,—,—,0.7375,0.5859,0.7805,0.7092
bank_marketing,binary,TabNet,—,—,0.7493,0.5706,0.7691,0.7333
online_news,regression,xRFM,2903.9063,0.0579,—,—,—,—
online_news,regression,XGBoost,3184.902,-0.0119,—,—,—,—
online_news,regression,RF,3373.3242,-0.0261,—,—,—,—
online_news,regression,MLP,3045.809,0.0243,—,—,—,—
online_news,regression,TabNet,2913.1389,0.027,—,—,—,—
superconductivity,regression,xRFM,5.4169,0.9165,—,—,—,—
superconductivity,regression,XGBoost,5.8692,0.9212,—,—,—,—
superconductivity,regression,RF,5.3928,0.9235,—,—,—,—
superconductivity,regression,MLP,7.481,0.8841,—,—,—,—
superconductivity,regression,TabNet,8.5998,0.8539,—,—,—,—
